"airportIATACode";"airportName";"airportICAOCode"
"SYD";"SYDNEY";"YSSY"
"SYE";"Sadah";"OYSH"
"SYH";"Syangboche";"VNSB"
"SYI";"Bomar Field";""
"SYJ";"Sirjan";"OIKY"
"SYK";"Stykkisholmur";"BIST"
"SYM";"Simao";"ZPSM"
"SYN";"Carleton";""
"SYO";"Shonai";"RJSY"
"SYP";"Santiago";"MPSA"
"SYQ";"Tobias Bolaños International";"MRPV"
"SYR";"SYRACUSE";"KSYR"
"SYS";"Yeosu";"UERS"
"SYT";"Charolais Bourgogne S.";"LFLN"
"SYU";"Warraber Island";"YWBS"
"SYV";"Sylvester";""
"SYW";"Sehwen Sharif";"OPSN"
"SYX";"SANYA";"ZJSY"
"SYY";"Stornoway";"EGPO"
"SYZ";"SHAHID DASTGHAIB INTL";"OISS"
"SZA";"soyo airport";"FNSO"
"SZB";"Sultan Abdul Aziz Shah";"WMSA"
"SZE";"Semera Airport";""
"SZF";"CARSAMBA AIRPORT";"LTFH"
"SZG";"SALZBURG";"LOWS"
"SZI";"Zaisan";""
"SZJ";"Siguanea";"MUSN"
"SZK";"Skukuza";"FASZ"
"SZL";"Whiteman AFB";"KSZL"
"SZM";"Sesriem";""
"SZN";"Santa Cruz Island";""
"SZP";"Oxnard";"KSZP"
"SZR";"Stara Zagora";"LBSZ"
"SZS";"Stewart Island";"NZRC"
"SZT";"San Cristobal de las Casas Airport";"MMSC"
"SZV";"Suzhou";"ZSSZ"
"SZW";"Parchim Airport";"EDOP"
"SZX";"SHENZHEN";"ZGSZ"
"SZY";"Mazury";"EPSY"
"SZZ";"GOLENIOW";"EPSC"
"TAB";"Crown Point Airport";"TTCP"
"TAC";"D.Z. Romualdez";"RPVA"
"TAD";"Las Animas";"KTAD"
"TAE";"DAEGU";"RKTN"
"TAF";"Tafaraoui";"DAOL"
"TAG";"Tagbilaran";"RPVT"
"TAH";"Tanna";"NVVW"
"TAI";"Al Janad";"OYTZ"
"TAJ";"Tadji";""
"TAK";"TAKAMATSU";"RJOT"
"TAL";"Ralph Calhoun";"PATA"
"TAM";"GENERAL F JAVIER MINA";"MMTM"
"TAN";"Tangalooma";""
"TAO";"QINGDAO";"ZSQD"
"TAP";"Tapachula International";"MMTP"
"TAQ";"Tarcoola";"YTAR"
"TAR";"M. A. Grottag";"LIBG"
"TAS";"VOSTOHNY";"UTTT"
"TAT";"Poprad/Tatry";"LZTT"
"TAU";"Tauramena";""
"TAW";"Tacuarembo";"SUTB"
"TAX";"Taliabu";""
"TAY";"ULENURME";"EETU"
"TAZ";"Dashoguz";"UTAT"
"TBB";"Dong Tac";"VVTH"
"TBC";"Tuba City";""
"TBE";"Timbunke";""
"TBF";"Tabiteuea North";"NGTE"
"TBG";"Tabubil";"AYTB"
"TBH";"Romblon";"RPVU"
"TBI";"New Bright";"MYCB"
"TBJ";"Tabarka";"DTKA"
"TBK";"Timber Creek";"YTBR"
"TBL";"Tableland";""
"TBM";"Tumbang Samba";""
"TBN";"Forney AAF";"KTBN"
"TBO";"Tabora";"HTTB"
"TBP";"Tumbes";"SPME"
"TBQ";"Tarabo";""
"TBR";"Statesboro-Bulloch County Airport";"KTBR"
"TBS";"TBILISI";"UGGG"
"TBT";"Internacional";"SBTT"
"TBU";"Fua'amotu International";"NFTF"
"TBV";"Tabal";""
"TBW";"Tambov";"UUOT"
"TBY";"Tsabong";"FBTS"
"TBZ";"TABRIZ INTERNATIONAL";"OITT"
"TCA";"Tennant Creek";"YTNK"
"TCB";"Treasure Cay";"MYAT"
"TCC";"Tucumcari";"KTCC"
"TCD";"Tarapaca";""
"TCE";"Tulcea";"LRTC"
"TCG";"Tacheng";"SPCH"
"TCH";"Tchibanga";"FOOT"
"TCJ";"Torembi Airport";""
"TCK";"Tinboli Airport";""
"TCL";"Van De Graaf";"KTCL"
"TCM";"McChord AFB";"KTCM"
"TCN";"Tehuacan";"MMHC"
"TCO";"La Florida";"SKCO"
"TCP";"Taba International";"HETB"
"TCQ";"Tacna";"SPTN"
"TCR";"Tuticorin";""
"TCS";"Truth or Consequences";"KTCS"
"TCT";"Takotna";""
"TCU";"Thaba Nchu";"FATN"
"TCW";"Tocumwal";"YTOC"
"TCX";"Tabas";"OIMT"
"TCY";"Terrace Bay";""
"TCZ";"Tuofeng";"ZUTC"
"TDA";"Trinidad";""
"TDB";"Tetabedi";""
"TDD";"Trinidad";"SLTR"
"TDG";"Tandag";"RPMW"
"TDJ";"Tadjoura";"HDTJ"
"TDK";"Taldy-Kurgan";"UAAT"
"TDL";"Tandil";"SAZT"
"TDN";"Theda Station";""
"TDO";"Winlock";"KTDO"
"TDP";"Trompeteros";""
"TDR";"Theodore";"YTDR"
"TDS";"Sasereme";""
"TDT";"Tanda Tula";""
"TDV";"Tanandava";""
"TDW";"Tradewind";"KTDW"
"TDX";"TRAT AIRPORT";"VTBO"
"TDZ";"Toledo";"KTDZ"
"TEA";"Tela";"MHTE"
"TEB";"Teterboro";"KTEB"
"TEC";"Telemaco Borba";"SBTL"
"TED";"Thisted";"EKTS"
"TEE";"Tbessa";"DABS"
"TEF";"Telfer";"YTEF"
"TEG";"Tenkodogo";"DFET"
"TEH";"Tetlin";""
"TEI";"Tezu";"VETJ"
"TEK";"Tatitlek";""
"TEL";"Telupid";"WBKE"
"TEM";"Temora";"YTEM"
"TEN";"Tongren";"ZUTR"
"TEO";"Terapo";""
"TEP";"Teptep";""
"TEQ";"Corlu";"LTBU"
"TER";"LAJES";"LPLA"
"TES";"Tessenei";"HHTS"
"TET";"CHINGOZI";"FQTT"
"TEU";"Manapouri";"NZMO"
"TEV";"Teruel Airport";"LETL"
"TEX";"Telluride Regional";"KTEX"
"TEY";"Thingeyri";"BITE"
"TEZ";"Salonibari";"VETZ"
"TFB";"Tifalmin";""
"TFF";"Tefe";"SBTF"
"TFI";"Tufi";""
"TFL";"Teofilo Otoni";"SNTO"
"TFM";"Telefomin";""
"TFN";"NORTE LOS RODEOS";"GCXO"
"TFS";"SUR REINA SOFIA";"GCTS"
"TFT";"Taftan";"OPTT"
"TGA";"Tengah Air Base";"WSAT"
"TGC";"Tanjung Manis";"WBGT"
"TGD";"PODGORICA";"LYPG"
"TGE";"Sharpe Field";""
"TGG";"Sultan Mahmood";"WMKN"
"TGH";"Tongoa";"NVST"
"TGI";"Tingo Maria";"SPGM"
"TGJ";"Tiga";"NWWA"
"TGK";"Taganrog";"URRT"
"TGL";"Tagula";""
"TGM";"Transilvania";"LRTM"
"TGN";"La Trobe Regional";"YLTV"
"TGO";"Tongliao";"ZBTL"
"TGP";"Podkamennaya Tunguska";"UNIP"
"TGQ";"Tangara da Serra";"SWTS"
"TGR";"Touggourt";"DAUK"
"TGS";"Chokwe";""
"TGT";"Tanga";"HTTG"
"TGU";"TONCONTIN";"MHTG"
"TGV";"Targovishte";""
"TGZ";"Llano San Juan";"MMTG"
"THA";"Tullahoma/William Northern Field";""
"THB";"Thaba-Tseka";"FXTA"
"THC";"Tchien";""
"THE";"TERESINA";"SBTE"
"THF";"Berlin-Tempelhof International Airport";"EDDI"
"THG";"Thangool";"YTNG"
"THH";"Taharoa";"NZTS"
"THI";"Tichitt";"GQNC"
"THK";"Thakhek";"VLTK"
"THL";"Tachilek";"VYTL"
"THM";"Thompsonfield";""
"THN";"Trollhattan";"ESGT"
"THO";"Thorshofn";"BITN"
"THP";"Hot Springs";""
"THQ";"Maijishan";"ZLTS"
"THR";"Mehrabad (Qualeh Morgeh)";"OIII"
"THS";"Sukhothai";"VTPO"
"THT";"Tamchakett";"GQNT"
"THU";"Pituffik";"BGTL"
"THV";"York Airport";"KTHV"
"THX";"Turukhansk";"UOTT"
"THY";"Thohoyandou";"FATH"
"THZ";"Tahoua";"DRRT"
"TIA";"TIRANA";"LATI"
"TIB";"Tibu";""
"TIC";"Tinak Island";""
"TID";"Bouchekif Abde Al-hafidh Boussof";"DAOB"
"TIE";"Tippi";"HATP"
"TIF";"Taif";"OETF"
"TIH";"Tikehau Atoll";"NTGC"
"TII";"Tirinkot";"OATN"
"TIJ";"General A. L. Rodriguez International";"MMTJ"
"TIK";"Tinker AFB";"KTIK"
"TIL";"Inverlake";""
"TIM";"Timika";"WABP"
"TIN";"Tindouf";"DAOF"
"TIO";"Tilin";"VYHN"
"TIP";"TRIPOLI";"HLLT"
"TIQ";"Tinian International";"PGWT"
"TIR";"Tirupati";"VOTP"
"TIU";"Timaru";"NZTU"
"TIV";"TIVAT";"LYTV"
"TIW";"Industrial";"KTIW"
"TIX";"Space Coast Regional";"KTIX"
"TIY";"Tidjikja";"GQND"
"TIZ";"Tari";"AYTA"
"TJA";"Tarija";"SLTJ"
"TJB";"Tanjung Balai";"WIBT"
"TJC";"Ticantiki";""
"TJG";"Tanjung Warukin";"WAON"
"TJH";"Tajima";"RJBT"
"TJI";"Capiro";"MHTJ"
"TJK";"Tokat";"LTAW"
"TJL";"PLINIO ALARCOM";"SSTL"
"TJM";"ROSHCHINO";"USTR"
"TJN";"Takume";"NTKM"
"TJQ";"Bulutumbang";"WIKD"
"TJS";"Tanjung Selor";"WALG"
"TJU";"Kulyab";"UTDK"
"TJV";"Thanjavur";"VOTJ"
"TKA";"Talkeetna";"PATK"
"TKB";"Tekadu";""
"TKC";"Tiko";"FKKC"
"TKD";"Takoradi";"DGTK"
"TKF";"Truckee-Tahoe";"KTRK"
"TKG";"Branti";"WIIT"
"TKH";"Nakhon Sawan";"VTPI"
"TKI";"Tokeen";"KTKI"
"TKJ";"Tok";"PATJ"
"TKK";"Truk";"PTKK"
"TKM";"El Peten";""
"TKN";"Tokunoshima";"RJKN"
"TKO";"Tlokoeng";"FXTK"
"TKP";"Takapoto";"NTGT"
"TKQ";"Kigoma";"HTKA"
"TKR";"Thakurgaon";"VGSG"
"TKS";"Tokushima";"RJOS"
"TKT";"Tak";"VTPT"
"TKU";"TURKU";"EFTU"
"TKV";"Tatakoto";"NTGO"
"TKW";"Tekin";""
"TKX";"Takaroa";"NTKR"
"TKY";"Turkey Creek";""
"TKZ";"Tokoroa";"NZTO"
"TLA";"Teller";"PATE"
"TLB";"Tarbela";"OPTA"
"TLC";"Licenciado Adolfo Lopez Mateos International";"MMTO"
"TLD";"Limpopo Valley";"FBTL"
"TLE";"Tulear";"FMST"
"TLF";"Telida";""
"TLH";"TALLAHASSEE MNPL";"KTLH"
"TLI";"Tolitoli";"WAMI"
"TLJ";"Tatalina AFS";"PATL"
"TLK";"Talakan Airport";"UECT"
"TLL";"TALLINN";"EETN"
"TLM";"Zenata";"DAON"
"TLN";"LE PALYVESTRE";"LFTH"
"TLO";"Tol";""
"TLP";"Tumolbil";""
"TLQ";"Jiaohe";"ZWTP"
"TLR";"Mefford Field";""
"TLS";"TOULOUSE";"LFBO"
"TLT";"Tuluksak";""
"TLU";"Tolu";"SKTL"
"TLV";"BEN GURION";"LLBG"
"TLW";"Talasea";""
"TLX";"Talca";"SCTL"
"TLY";"Plastun";"UHWP"
"TLZ";"Catalao";"SWKT"
"TMA";"Henry Tift Myers";"KTMA"
"TMB";"Tamiami";"KTMB"
"TMC";"Tjilik Riwut";"WADT"
"TMD";"Timbedra";"GQNH"
"TME";"Tame";"SKTM"
"TMF";"Thimarafushi Airport";"VRNT"
"TMG";"Tomanggong";"WBKM"
"TMH";"Tanahmerah";"WAKT"
"TMI";"Tumling Tar";"VNTR"
"TMJ";"Termez";"UTST"
"TML";"Tamale";"DGLE"
"TMM";"Tamatave";"FMMT"
"TMN";"Tamana Island";"NGTM"
"TMO";"Tumeremo";"SVTM"
"TMP";"TAMPERE";"EFTP"
"TMQ";"Tambao";"DFEM"
"TMR";"Aguemar";"DAAT"
"TMS";"SAO TOME INTL";"FPST"
"TMT";"Trombetas";"SBTB"
"TMU";"Tambor";"MRTR"
"TMW";"Tamworth Regional Airport";"YSTW"
"TMX";"Timimoun";"DAUT"
"TMY";"Tiom";""
"TMZ";"Thames";"NZTH"
"TNA";"JINAN";"ZSJN"
"TNB";"Tanah Grogot";"WRLH"
"TNC";"Tin City Afs";"PATC"
"TND";"Trinidad";"MUTD"
"TNE";"Tanegashima";"RJFG"
"TNF";"Toussus-le-noble";"LFPN"
"TNG";"BOUKHALEF";"GMTT"
"TNH";"Tonghua Liuhe";"ZYTN"
"TNI";"Satna";"VIST"
"TNJ";"Kidjang";"WIKN"
"TNK";"Tununak";""
"TNL";"Ternopol";"UKLT"
"TNM";"Teniente R. Marsh Martin";"SCRM"
"TNN";"Tainan";"RCNN"
"TNO";"Tamarindo";"MRCV"
"TNP";"Twentynine Palms";"KTNP"
"TNQ";"Teraina";""
"TNR";"IVATO INTL";"FMMI"
"TNS";"Tungsten";""
"TNT";"Dade Collier";"KTNT"
"TNU";"Newton Municipal Airport";"KTNU"
"TNV";"Tabuaeran";""
"TNW";"Jumandy";""
"TNX";"Stung Treng";"VDST"
"TNZ";"Tosontsengel";""
"TOA";"Torrance Airport";"KTOA"
"TOB";"Tobruk";"HLGN"
"TOC";"Toccoa RG Letourneau Field";"KTOC"
"TOD";"Tioman";"WMBT"
"TOE";"TOZEUR-NEFTA INTERNATIONAL AIRPORT";"DTTZ"
"TOF";"BOGASHEVO";"UNTT"
"TOG";"Togiak Village";"PATG"
"TOH";"Torres Airstrip";"NVSD"
"TOI";"Troy Municipal Airport";"KTOI"
"TOJ";"Torrejon AFB";"LETO"
"TOK";"Torokina";""
"TOL";"Toledo Express";"KTOL"
"TOM";"Tombouctou";"GATB"
"TON";"Tonu";""
"TOO";"San Vito";"MRSV"
"TOP";"Philip Billard";"KTOP"
"TOQ";"Barriles";"SCBE"
"TOR";"Torrington Municipal Airport";"KTOR"
"TOS";"Tromso/langnes";"ENTC"
"TOT";"Coronie";"SMCO"
"TOU";"Touho";"NWWU"
"TOW";"Toledo";"SBTD"
"TOX";"Tobolsk";"USTO"
"TOY";"TOYAMA";"RJNT"
"TOZ";"Touba";"DITM"
"TPA";"TAMPA";"KTPA"
"TPC";"Tarapoa";"SETR"
"TPE";"TAIWAN TAOYUAN INTL";"RCTP"
"TPF";"Peter O'Knight";"KTPF"
"TPG";"Taiping";"WMBI"
"TPH";"Tonopah Airport";"KTPH"
"TPI";"Tapini";""
"TPJ";"Taplejung Suketar";"VNTJ"
"TPK";"Tapaktuan";"WITA"
"TPL";"Draughon-miller Central Texas Regional";"KTPL"
"TPN";"Tiputini";"SETI"
"TPP";"Tarapoto";"SPST"
"TPQ";"Tepic";"MMEP"
"TPR";"Tom Price";""
"TPS";"TRAPANI";"LICT"
"TPT";"Tapeta";""
"TPU";"Tikapur";""
"TPX";"Tupai";""
"TQD";"Al Taqaddum AB";"ORAT"
"TQL";"Tarko-Sale";"USDS"
"TQN";"Taluqan";"OATQ"
"TQQ";"Maranggo Airport";"WA44"
"TQS";"Tres Esquinas";"SKTQ"
"TRA";"Tarama";"RORT"
"TRB";"Gonzalo";"SKTU"
"TRC";"TORREON";"MMTC"
"TRD";"TRONDHEIM";"ENVA"
"TRE";"Tiree";"EGPU"
"TRF";"Sandefjord";"ENTO"
"TRG";"Tauranga";"NZTG"
"TRH";"Trona";""
"TRI";"TRI CITIES";"KTRI"
"TRJ";"Tarakbits";""
"TRK";"Juwata";"WALR"
"TRL";"Terrell Field";"KTRL"
"TRM";"Thermal";"KTRM"
"TRN";"CASELLE";"LIMF"
"TRO";"Taree";"YTRE"
"TRQ";"Tarauaca";"SBTK"
"TRR";"China Bay";"VCCT"
"TRS";"TRIESTE";"LIVT"
"TRU";"Trujillo";"SPRU"
"TRV";"THIRUVANANTHAPURAM";"VOTV"
"TRW";"Bonriki";"NGTA"
"TRX";"Memorial";"KTRX"
"TRY";"Tororo";"HUTO"
"TRZ";"Civil";"VOTR"
"TSA";"SONG SHAN";"RCSS"
"TSB";"Tsumeb";"FYTM"
"TSC";"Taisha";"SETH"
"TSD";"Tshipise";""
"TSE";"ASTANA";"UACC"
"TSF";"S. Angelo";"LIPH"
"TSG";"Intermediate";""
"TSH";"Tshikapa";"FZUK"
"TSI";"Tsili Tsili";""
"TSJ";"Tsushima";"RJDT"
"TSL";"Tamuin";"MMTN"
"TSM";"Taos";"KSKX"
"TSN";"TIANJIN";"ZBTJ"
"TSP";"Kern County";"KTSP"
"TSQ";"Torres";""
"TSR";"TRAIAN VUIA";"LRTR"
"TST";"Trang";"VTST"
"TSU";"Tabiteuea South";"NGTS"
"TSV";"TOWNSVILLE";"YBTL"
"TSW";"Tsewi";""
"TSX";"Tanjung Santan";"WALT"
"TSY";"Tasikmalaya";"WIAM"
"TSZ";"Tsetserleg";""
"TTA";"Tan Tan";"GMAT"
"TTB";"Arbatax";"LIET"
"TTC";"Taltal";"SCTT"
"TTD";"Troutdale";"KTTD"
"TTE";"Babullah";"WAMT"
"TTG";"Tartagal";"SAST"
"TTH";"Thumrait";"OOTH"
"TTI";"Tetiaroa Island";"NTTE"
"TTJ";"Tottori";"RJOR"
"TTL";"Turtle Island Seaplane Base";"NFUL"
"TTN";"Trenton Mercer Airport";"KTTN"
"TTO";"Britton Municipal Airport";"KBTN"
"TTQ";"Tortuquero";"MRAO"
"TTR";"Tana Toraja";"WAWT"
"TTS";"Tsaratanana";""
"TTT";"Taitung";"RCQS"
"TTU";"SANIA RAMEL";"GMTN"
"TUA";"Tulcan";"SETU"
"TUB";"Tubuai";"NTAT"
"TUC";"Benj Matienzo";"SANT"
"TUD";"Tambacounda";"GOTT"
"TUE";"Tupile";""
"TUF";"SAINT SYMPHORIEN";"LFOT"
"TUG";"Tuguegarao";"RPUT"
"TUH";"Arnold AFS";""
"TUI";"Turaif";"OETR"
"TUJ";"Tum";""
"TUK";"Turbat International Airport";"OPTU"
"TUL";"TULSA INTL";"KTUL"
"TUM";"Tumut";"YTMU"
"TUN";"CARTHAGE";"DTTA"
"TUO";"Taupo";"NZAP"
"TUP";"Lemons Municipalcipal";"KTUP"
"TUQ";"Tougan";"DFOT"
"TUR";"Tucurui";"SBTU"
"TUS";"TUCSON INTL";"KTUS"
"TUU";"TABUK";"OETB"
"TUV";"Tucupita";"SVTC"
"TUW";"Tubala";""
"TUX";"Tumbler Ridge";""
"TUY";"Tulum";""
"TVA";"Morafenobe";"FMMR"
"TVC";"TRAVERSE CITY";"KTVC"
"TVF";"Regional";"KTVF"
"TVI";"Thomasville Municipal Airport";"KTVI"
"TVL";"South Lake Tahoe";"KTVL"
"TVS";"Sannuhe";""
"TVU";"Matei";"NFNM"
"TVY";"Dawe";"VBTV"
"TWA";"Twin Hills";""
"TWB";"Toowoomba";"YTWB"
"TWD";"Port Townsend";""
"TWE";"Taylor";""
"TWF";"Joslin Field - Magic Valley Regional";"KTWF"
"TWP";"Torwood";""
"TWT";"Tawitawi";"RPMN"
"TWU";"Tawau";"WBKW"
"TWY";"Tawa";""
"TWZ";"Pukaki/Twizel";"NZUK"
"TXF";"TEIXEIRA DE FREITAS";"SNTF"
"TXG";"Taichung";"RCLG"
"TXK";"Texarkana Municipal";"KTXK"
"TXL";"Berlin-Tegel International Airport";"EDDT"
"TXM";"Teminabuan";"WAST"
"TXN";"Tunxi";"ZSTX"
"TXR";"Tanbar";""
"TXU";"Tabou";"DITB"
"TYA";"Tula";""
"TYB";"Tibooburra";"YTIB"
"TYD";"Tynda";"UHBW"
"TYE";"Tyonek";""
"TYF";"Torsby Airport";"ESST"
"TYG";"Thylungra";"YTHY"
"TYL";"Talara";"SPYL"
"TYM";"Staniel Cay";"MYES"
"TYN";"TAIYUAN";"ZBYN"
"TYP";"Tobermorey";"YTMY"
"TYR";"Tyler Pounds Regional Airport";"KTYR"
"TYS";"KNOXVILLE";"KTYS"
"TYT";"Treinta-y-Tres";"SUTR"
"TYZ";"Taylor";"KTYL"
"TZA";"Municipal";""
"TZC";"Tuscola Area";"K78D"
"TZL";"Tuzla International";"LQTZ"
"TZM";"Tizimin";""
"TZR";"TaszÃ¡r Air Base";"LHTA"
"TZX";"TRABZON";"LTCG"
"UAB";"Adana-Incirlik Airbase";"LTAG"
"UAC";"San Luis Rio Colorado";"MM76"
"UAE";"Mount Aue";""
"UAH";"Ua Huka";"NTMU"
"UAI";"Suai";"WPDB"
"UAK";"Narsarsuaq";"BGBW"
"UAL";"Luau";"FNUA"
"UAM";"Andersen AFB";"PGUA"
"UAP";"Ua Pou";"NTMP"
"UAQ";"San Juan";"SANU"
"UAR";"Bouarfa";"GMFB"
"UAS";"Samburu";"HKSB"
"UAX";"Uaxactun";""
"UBA";"Mario de Almeida Franco";"SBUR"
"UBB";"Mabuiag Island";"YMAA"
"UBI";"Buin";""
"UBJ";"Ube";"RJDC"
"UBP";"Muang Ubon";"VTUU"
"UBR";"Ubrub";"WAJU"
"UBS";"Lowndes County";"KUBS"
"UBT";"Ubatuba";"SDUB"
"UBU";"Kalumburu";"YKAL"
"UCB";"Ulanqab Jining Airport";"ZBUC"
"UCC";"Yucca Flat";""
"UCE";"Eunice";""
"UCK";"Lutsk";"UKLC"
"UCN";"Buchanan";""
"UCT";"Ukhta";"UUYH"
"UCY";"Everett-Stewart";""
"UDA";"Undarra";"YUDA"
"UDD";"Bermuda Dunes";"KUDD"
"UDE";"Volkel";""
"UDI";"UBERLANDIA";"SBUL"
"UDJ";"Uzhgorod";"UKLU"
"UDN";"Airfield";"LIPD"
"UDR";"Dabok";"VAUD"
"UEE";"Queenstown";"YQNS"
"UEL";"Quelimane";"FQQL"
"UEN";"Urengoy";""
"UEO";"Kumejima";"ROKJ"
"UES";"Waukesha";""
"UET";"Quetta";"OPQT"
"UFA";"UFA";"UWUU"
"UGA";"Bulgan";"ZMBN"
"UGB";"Ugashik Bay";""
"UGC";"URGENCH";"UTNU"
"UGN";"Memorial";"KUGN"
"UGO";"Uige";"FNUG"
"UGS";"Ugashik";""
"UGT";"Umnugobitour";""
"UGU";"Zugapa";""
"UHE";"Kunovice";"LKKU"
"UIB";"Quibdo";"SKUI"
"UIH";"Qui Nhon";"VVQN"
"UII";"Utila";"MHUT"
"UIK";"Ust-Ilimsk";"UIBS"
"UIL";"Quillayute State";"KUIL"
"UIN";"Quincy M Baldwin Field";"KUIN"
"UIO";"QUITO";"SEQU"
"UIP";"Pluguffan";"LFRQ"
"UIQ";"Quine Hill";""
"UIR";"Quirindi";"YQDI"
"UIT";"Jaluit Island";""
"UJE";"Ujae Island";"UJAP"
"UKA";"Ukunda";"HKUK"
"UKB";"KOBE AIRPORT";"RJBE"
"UKG";"Ust-Kuyga Airport";"UEBT"
"UKH";"Mukhaizna";""
"UKI";"Ukiah";"KUKI"
"UKK";"UST KAMENOGORSK";"UASK"
"UKN";"Waukon Municipal Airport";""
"UKR";"Mukeiras";"OYMK"
"UKS";"Belbek";"UKFB"
"UKT";"Upper Bucks";"KUKT"
"UKU";"Nuku";""
"UKX";"Ust-Kut";"UITT"
"ULA";"San Julian";"SAWJ"
"ULB";"Ulei";"NVSU"
"ULD";"Ulundi";"FAUL"
"ULE";"Sule";""
"ULG";"Ulgit";"ZMUL"
"ULH";"Majeed Bin Abdulaziz";"OEAO"
"ULI";"Ulithi";""
"ULK";"Lensk";"UERL"
"ULL";"Mull";""
"ULM";"New Ulm";"KULM"
"ULN";"ULAANBAATAR";"ZMUB"
"ULO";"Ulaangom";"ZMUG"
"ULP";"Quilpie";"YQLP"
"ULQ";"Farfan";"SKUL"
"ULU";"Gulu";"HUGU"
"ULV";"Baratayevka";"UWLL"
"ULX";"Ulusaba";""
"ULY";"Vostochny";"UWLW"
"ULZ";"Uliastai";"ZMDN"
"UMA";"Punta De Maisi";""
"UMC";"Umba";""
"UMD";"Uummannaq Heliport";"BGUM"
"UME";"UMEA";"ESNU"
"UMI";"Quincemil";"SPIL"
"UMM";"Summit";"PAST"
"UMR";"Woomera";"YPWR"
"UMS";"Ust-Maya Airport";"UEMU"
"UMT";"Umiat";"PAUM"
"UMU";"Ernesto Geisel";"SSUM"
"UMY";"Sumy";"UKHS"
"UNA";"Una";"SBTC"
"UNC";"Unguia";""
"UND";"Kunduz";"OAUZ"
"UNE";"Qachas Nek";"FXQN"
"UNG";"Kiunga";"AYKI"
"UNI";"Union Island";"TVSU"
"UNK";"Unalakleet";"PAUN"
"UNN";"Ranong";"VTSR"
"UNR";"Underkhaan";""
"UNT";"Baltasound";"EGPW"
"UNU";"Dodge County";"KUNU"
"UOL";"Buol";"WAMQ"
"UOS";"Franklin County";"KUOS"
"UOX";"University-Oxford";"KUOX"
"UPB";"Playa Baracoa";"MUPB"
"UPG";"Hasanudin";"WAAA"
"UPL";"Upala";"MRUP"
"UPN";"Uruapan";"MMPN"
"UPP";"Upolu Point";"PHUP"
"UPR";"Upiara";""
"UPV";"Upavon";"EGDJ"
"URA";"Uralsk / Podstepnyy";"UARR"
"URC";"URUMQI";"ZWWW"
"URD";"Burg Feuerstein";"EDQE"
"URE";"Kuressaare";"EEKE"
"URG";"Ruben Berta";"SBUG"
"URI";"Uribe";""
"URJ";"Uraj";"USHU"
"URM";"Uriman";"SVUM"
"URN";"Urgoon";""
"URO";"Boos";"LFOP"
"URR";"Urrao";"SKUR"
"URS";"Kursk";"UUOK"
"URT";"Surat Thani";"VTSB"
"URU";"Uroubi";""
"URY";"Gurayat";"OEGT"
"URZ";"Uruzgan";""
"USA";"Concord Regional Airport";"KJQF"
"USH";"Islas Malvinas Argentinas International";"SAWH"
"USI";"Mabaruma";"SYMB"
"USK";"Usinsk";"UUYS"
"USL";"Useless Loop";"YUSL"
"USM";"KOH SAMUI";"VTSM"
"USN";"Ulsan";"RKPU"
"USQ";"Usak";"LTBO"
"USR";"Ust-Nera Airport";"UEMT"
"USS";"Sancti Spiritus";"MUSS"
"UST";"St Augustine";"KSGJ"
"USU";"Francisco Reyes";"RPVV"
"UTA";"Mutare";"FVMU"
"UTB";"Muttaburra";"YMTB"
"UTC";"Soesterberg Air Base";"EHSB"
"UTD";"Nutwood Downs";""
"UTG";"Quthing";"FXQG"
"UTH";"Udon Thani";"VTUD"
"UTI";"Utti";"EFUT"
"UTK";"Utirik Island";"03N"
"UTM";"Tunica Municipalcipal Airport";"KUTA"
"UTN";"UPINGTON";"FAUP"
"UTO";"Indian Mountain AFS";"PAIM"
"UTP";"Utapao";"VTBU"
"UTR";"Uttaradit";"VTPU"
"UTS";"Ust-Tsilma";"UUYX"
"UTT";"K.D MATANZIMA";"FAUT"
"UTU";"Ustupo";""
"UTW";"Queenstown";"FAQT"
"UUA";"Bugulma";"UWKB"
"UUD";"MUKHINO";"UIUU"
"UUK";"Kuparuk";"PAKU"
"UUN";"Baruun-Urt";"ZMBU"
"UUS";"YUZHNO SAKHALINSK";"UHSS"
"UUU";"Manumu";""
"UVA";"Garner Field";"KUVA"
"UVE";"Ouvea";"NWWV"
"UVF";"HEWANORRA";"TLPL"
"UVL";"Kharga";"HEKG"
"UVO";"Uvol";""
"UWA";"Ware";""
"UYL";"Nyala";"HSNL"
"UYN";"Yulin";"ZLYL"
"UYU";"Uyuni";"SLUY"
"UZC";"Uzice-Ponikve";"LYUE"
"UZM";"Hope Bay";""
"UZU";"Curuzu Cuatia";"SATU"
"VAA";"VAASA";"EFVA"
"VAC";"Varrelbusch";"EDWU"
"VAD";"Moody AFB";"KVAD"
"VAF";"Chabeuil";"LFLU"
"VAG";"Maj. Brig. Trompowsky";"SBVG"
"VAH";"Vallegrande";"SLVG"
"VAI";"Vanimo";"AYVN"
"VAK";"Chevak";"PAVA"
"VAL";"Valenca";"SNVB"
"VAM";"Maamigili";"VRMV"
"VAN";"Ferit Melen Airport";"LTCI"
"VAO";"Suavanao Airstrip";"AGGV"
"VAP";"Valparaiso";"SCRD"
"VAR";"VARNA";"LBWN"
"VAS";"Sivas";"LTAR"
"VAT";"Vatomandry";"FMMY"
"VAU";"Vatukoula";"NFNV"
